category,concept,content,keywords
llm,Context Window,Context Window는 LLM이 한 번의 요청에서 처리할 수 있는 토큰 범위이다. 입력 문서와 대화가 지나치게 길면 한계를 넘을 수 있으며 많은 정보를 넣을수록 항상 답변이 좋아지는 것은 아니다.,"context window,컨텍스트 윈도우,토큰 제한,문맥"
llm,Hallucination,Hallucination은 LLM이 실제 근거가 없거나 사실과 다른 내용을 자연스러운 문장으로 생성하는 현상이다. LLM은 데이터베이스를 직접 조회하는 것이 아니라 학습된 확률적 패턴을 이용해 토큰을 생성하기 때문에 발생할 수 있다.,"hallucination,환각,오답,근거"
llm,LLM Knowledge Limitation,"LLM의 파라미터에 저장된 지식만으로는 최신 정보, 비공개 데이터, 특정 조직 내부 문서, 사용자의 개인 데이터처럼 학습 당시 알 수 없던 정보를 정확하게 답하기 어렵다.","knowledge limitation,지식 한계,최신 정보,내부 데이터"
llm,LLM Role in RAG,RAG에서 LLM의 핵심 역할은 검색 자체가 아니라 Retriever가 찾아온 정보를 이해하고 사용자의 질문에 맞는 자연어 답변으로 구성하는 것이다.,"llm,r​ag,answer generation,답변 생성,context"
rag,RAG,"RAG는 Retrieval-Augmented Generation의 약자로, 외부 데이터에서 관련 정보를 검색하는 Retrieval과 LLM의 Generation을 결합하여 검색된 근거를 바탕으로 답변을 생성하는 구조이다.","rag,retrieval augmented generation,검색 증강 생성"
rag,RAG Purpose,"RAG의 목적은 LLM이 모든 정보를 파라미터에 기억하도록 요구하지 않고 질문 시점에 필요한 외부 정보를 검색하여 최신 정보, 내부 문서, 전문 데이터 등을 답변 근거로 사용할 수 있게 하는 것이다.","rag purpose,외부 지식,근거,최신 정보"
rag,RAG Pipeline,"일반적인 RAG 질의 흐름은 사용자 질문 입력, 질문 전처리, Retriever 검색, 관련 문서 선택, Context 구성, LLM 전달, 최종 답변 생성 순서로 진행된다.","rag pipeline,파이프라인,retriever,context,llm"
rag,RAG Data Preparation,RAG의 사전 준비 단계에서는 원본 데이터를 수집하고 정제한 뒤 필요한 경우 Chunk로 나누고 검색 방식에 맞는 인덱스나 임베딩 또는 그래프 구조를 생성하여 저장한다.,"data preparation,데이터 준비,indexing,인덱싱"
rag,Document,"Document는 RAG가 검색 대상으로 사용하는 원본 정보 단위이다. 문서, 상품 설명, 리뷰, 강의 지식, 데이터베이스 레코드 등 다양한 데이터가 Document 역할을 할 수 있다.","document,문서,원본 데이터,검색 대상"
rag,Chunk,Chunk는 긴 문서를 검색하기 적절한 크기로 나눈 작은 텍스트 단위이다. RAG는 전체 문서 대신 관련 Chunk를 검색하여 LLM에 전달함으로써 불필요한 입력을 줄일 수 있다.,"chunk,청크,문서 분할,text splitting"
rag,Chunking,Chunking은 긴 원본 문서를 여러 검색 단위로 분리하는 과정이다. Chunk가 너무 크면 불필요한 정보가 섞이고 너무 작으면 필요한 문맥이 끊길 수 있어 데이터 특성에 맞는 크기와 중첩을 결정해야 한다.,"chunking,청킹,문서 분할,overlap"
rag,Retriever,"Retriever는 사용자 질문과 관련된 외부 정보를 찾아오는 RAG의 검색 구성 요소이다. Keyword, Vector, Graph 등 어떤 검색 전략을 사용하는지에 따라 관련성을 판단하는 방식이 달라진다.","retriever,리트리버,검색기,retrieval"
rag,Retrieval,Retrieval은 질문에 필요한 근거를 외부 데이터에서 찾아오는 단계이다. RAG 전체 품질은 LLM뿐 아니라 이 단계에서 얼마나 관련성 높은 정보를 가져오는지에 크게 영향을 받는다.,"retrieval,검색,정보 검색,근거 검색"
rag,Top K Retrieval,Top-K Retrieval은 검색 점수가 높은 결과 중 상위 K개만 선택하는 방식이다. K가 너무 작으면 필요한 근거가 빠질 수 있고 너무 크면 관련 없는 정보가 Context에 섞일 수 있다.,"top k,top-k,retrieval,검색 결과 수"
rag,Context,Context는 Retriever가 검색한 정보를 LLM이 사용할 수 있도록 정리한 입력 정보이다. 질문과 함께 LLM에 제공되며 최종 답변의 근거 역할을 한다.,"context,컨텍스트,검색 결과,근거 문서"
rag,Context Construction,Context Construction은 검색 결과에서 필요한 필드와 내용을 선택하고 순서를 정리하여 LLM 프롬프트에 넣는 과정이다. 중복과 불필요한 내용을 줄이는 것이 중요하다.,"context construction,컨텍스트 구성,prompt,검색 결과"
rag,Grounded Answer,Grounded Answer는 검색된 외부 근거에 기반해 생성된 답변을 의미한다. RAG에서는 모델이 임의로 추측하는 범위를 줄이고 제공된 Context를 중심으로 답하도록 지시할 수 있다.,"grounded answer,근거 기반 답변,grounding,context"
rag,RAG Quality,"RAG의 성능은 LLM의 생성 능력뿐 아니라 데이터 품질, Chunking, 검색 방식, 검색 결과의 관련성, Top-K 설정, Context 구성 등에 의해 결정된다.","rag quality,검색 품질,데이터 품질,retrieval quality"
rag,Retrieval Failure,Retriever가 질문과 관련 없는 정보를 가져오면 LLM이 좋은 모델이어도 잘못된 Context를 바탕으로 답변할 수 있다. 따라서 검색 실패와 생성 실패를 구분하여 평가하는 것이 중요하다.,"retrieval failure,검색 실패,잘못된 context,오답"
rag,RAG vs LLM,일반 LLM은 주로 모델 내부의 학습된 파라미터와 입력 문맥을 이용해 답변하지만 RAG는 질문 시점에 외부 데이터를 검색하여 그 결과를 추가 Context로 제공한다.,"rag vs llm,llm 비교,외부 데이터,검색"
rag,RAG Types,"RAG는 Retrieval 전략에 따라 Keyword RAG, Vector RAG, Graph RAG 등으로 구성할 수 있다. 세 방식은 검색 기준이 각각 단어 일치, 의미 유사도, 관계 구조라는 점에서 차이가 있다.","rag types,keyword rag,vector rag,graph rag"
rag,Hybrid RAG,"Hybrid RAG는 Keyword, Vector, Graph 등 둘 이상의 Retrieval 전략을 함께 사용하여 각 방식의 장점을 결합하는 구조이다. 질문 유형에 따라 Retriever를 선택하거나 여러 검색 결과를 합칠 수 있다.","hybrid rag,하이브리드 rag,multi retriever,검색 결합"
keyword,Keyword RAG,Keyword RAG는 사용자의 질문과 문서에 등장하는 단어 또는 문자열의 일치를 중심으로 관련 정보를 검색한 뒤 검색 결과를 LLM에 전달하여 답변을 생성하는 RAG 방식이다.,"keyword rag,키워드 rag,keyword search,단어 검색"
keyword,Keyword RAG Pipeline,"Keyword RAG의 기본 흐름은 질문 입력, 핵심 검색어 추출, 문서의 문자열 또는 인덱스 검색, 일치 점수 계산, 상위 문서 선택, Context 구성, LLM 답변 생성 순서이다.","keyword pipeline,키워드 과정,검색 과정,context"
keyword,Keyword Extraction,"Keyword Extraction은 사용자 질문에서 검색에 중요한 단어나 구를 선택하는 과정이다. 조사나 일반 표현보다 개념명, 제품명, 고유명사 등 검색 구분력이 높은 표현을 중심으로 사용할 수 있다.","keyword extraction,키워드 추출,검색어,질문 전처리"
keyword,Lexical Match,Lexical Match는 질문의 단어나 표현이 문서의 실제 문자열과 일치하는지를 기준으로 관련성을 판단하는 방식이다. 의미가 아니라 표면적인 표현의 일치가 중심이다.,"lexical match,어휘 일치,문자열 일치,keyword"
keyword,Exact Match,"Exact Match는 특정 검색어와 문서의 값이 정확하게 일치하는지를 확인하는 방식이다. 제품 코드, 에러 코드, 고유명사처럼 표현 자체가 중요한 검색에 유리하다.","exact match,정확 일치,제품 코드,고유명사"
keyword,Keyword Search Scoring,"Keyword 검색에서는 개념명, 제목, 키워드 필드, 본문 등 검색 위치에 따라 서로 다른 가중치를 주어 문서 점수를 계산할 수 있다. 점수가 높은 문서를 우선적으로 Context에 사용할 수 있다.","keyword score,검색 점수,가중치,ranking"
keyword,SQL LIKE Search,작은 데이터에서는 SQL LIKE 또는 ILIKE를 이용해 특정 문자열이 컬럼에 포함되는지 검색할 수 있다. 구현은 단순하지만 대규모 데이터나 복잡한 관련성 순위에는 한계가 있다.,"sql like,ilike,문자열 검색,postgresql"
keyword,Full Text Search,Full-Text Search는 텍스트를 검색 가능한 형태로 분석하고 인덱스를 구축하여 단순 부분 문자열 검색보다 효율적으로 관련 문서를 찾는 방식이다.,"full text search,전문 검색,검색 인덱스,text search"
keyword,BM25,"BM25는 정보 검색에서 널리 사용되는 랭킹 방식으로, 문서 안에서 검색어가 나타나는 빈도와 전체 문서 집합에서 해당 단어가 얼마나 희귀한지를 고려해 관련성 점수를 계산한다.","bm25,tf,idf,검색 랭킹,keyword"
keyword,Keyword RAG Strength,"Keyword RAG는 검색 근거가 직관적이고 정확한 용어, 제품 번호, 기술 용어, 고유명사처럼 문자열 자체가 중요한 데이터에서 강점을 가진다.","keyword strength,장점,정확한 용어,고유명사"
keyword,Keyword RAG Limitation,Keyword RAG는 같은 의미를 다른 표현으로 작성한 질문과 문서를 연결하는 데 약할 수 있다. 실제 문자열이 겹치지 않으면 의미가 유사해도 검색 점수가 낮아질 수 있다.,"keyword limitation,한계,동의어,표현 차이"
keyword,Keyword Synonym Expansion,"Keyword 검색의 표현 차이 문제를 줄이기 위해 동의어 사전, 형태소 분석, stemming, n-gram 등의 방법으로 검색어를 확장하거나 정규화할 수 있다.","synonym,동의어,stemming,n-gram,형태소 분석"
keyword,Keyword RAG Visualization,"Keyword RAG는 질문에서 추출된 핵심어, 각 문서에서 일치한 위치, 문서별 검색 점수, Top-K 선택 결과를 순서대로 시각화하면 검색 근거를 쉽게 설명할 수 있다.","keyword visualization,시각화,검색 점수,검색 과정"
vector,Vector RAG,Vector RAG는 텍스트를 Embedding 벡터로 변환하고 질문 벡터와 문서 벡터 사이의 거리 또는 유사도를 계산하여 의미적으로 가까운 정보를 검색한 뒤 LLM에 전달하는 RAG 방식이다.,"vector rag,벡터 rag,semantic search,embedding"
vector,Vector RAG Pipeline,"Vector RAG의 질의 흐름은 사용자 질문 입력, 질문 Embedding 생성, Vector DB 검색, 벡터 유사도 계산, Top-K 문서 선택, Context 구성, LLM 답변 생성 순서이다.","vector pipeline,벡터 과정,embedding,top-k"
vector,Document Embedding,Vector RAG의 준비 단계에서는 검색 대상 문서나 Chunk를 Embedding 모델에 입력하여 고정된 차원의 숫자 벡터로 변환하고 원본 데이터와 함께 저장한다.,"document embedding,문서 임베딩,vector,사전 처리"
vector,Query Embedding,사용자 질문이 들어오면 문서를 임베딩할 때 사용한 것과 호환되는 Embedding 모델을 이용해 질문도 같은 벡터 공간의 숫자 벡터로 변환한다.,"query embedding,질문 임베딩,embedding model,벡터 공간"
vector,Embedding,Embedding은 텍스트의 의미적 특징을 고차원의 실수 벡터로 표현하는 방법이다. 각 차원을 사람이 직접 하나의 의미로 해석하기는 어렵지만 전체 벡터의 위치와 방향을 통해 텍스트 사이의 유사성을 계산할 수 있다.,"embedding,임베딩,벡터 표현,semantic"
vector,Embedding Space,Embedding Space는 문서와 질문이 벡터로 배치되는 고차원 공간이다. 의미적으로 유사한 텍스트가 비교적 가까운 위치나 비슷한 방향을 가지도록 Embedding 모델이 학습되어 있다.,"embedding space,벡터 공간,고차원,의미 공간"
vector,Vector Database,Vector Database는 Embedding 벡터를 저장하고 주어진 Query Vector와 가까운 벡터를 효율적으로 검색하도록 설계된 저장 및 검색 시스템이다.,"vector database,vector db,벡터 데이터베이스,검색"
vector,pgvector,pgvector는 PostgreSQL에서 vector 타입과 벡터 거리 연산 및 인덱스를 사용할 수 있게 하는 확장 기능이다. 일반 관계형 데이터와 임베딩 벡터를 같은 PostgreSQL 환경에서 관리할 수 있다.,"pgvector,postgresql,vector extension,벡터 검색"
vector,Cosine Similarity,Cosine Similarity는 두 벡터 사이의 각도를 이용해 방향이 얼마나 유사한지 측정하는 방법이다. 텍스트 임베딩의 의미적 유사성을 비교할 때 자주 사용된다.,"cosine similarity,코사인 유사도,벡터 유사도,각도"
vector,Dot Product,Dot Product는 두 벡터의 대응하는 원소를 곱해 합한 값으로 벡터 사이의 관련성을 측정하는 데 사용할 수 있다. 사용하는 Embedding 모델과 정규화 방식에 따라 유사도 계산에 활용된다.,"dot product,내적,벡터,유사도"
vector,Euclidean Distance,Euclidean Distance는 고차원 공간에서 두 벡터 사이의 직선 거리를 계산한다. 거리가 작을수록 벡터가 서로 가까운 것으로 해석할 수 있다.,"euclidean distance,유클리드 거리,벡터 거리,l2"
vector,Nearest Neighbor Search,Nearest Neighbor Search는 질문 벡터와 가장 가까운 문서 벡터를 찾는 과정이다. Vector RAG에서는 이 결과의 상위 문서를 검색 근거로 사용한다.,"nearest neighbor,최근접 이웃,vector search,유사 문서"
vector,Approximate Nearest Neighbor,Approximate Nearest Neighbor 검색은 대규모 벡터 집합에서 모든 벡터와 정확히 비교하는 비용을 줄이기 위해 가까운 후보를 빠르게 찾는 근사 검색 방식이다.,"ann,approximate nearest neighbor,근사 최근접,vector index"
vector,HNSW,HNSW는 계층적 그래프 구조를 이용해 고차원 벡터의 근사 최근접 이웃을 빠르게 찾는 인덱스 방식이다. 벡터 데이터가 많을 때 검색 속도를 높이는 데 사용된다.,"hnsw,vector index,ann,근사 검색"
vector,IVF,IVF는 벡터 공간을 여러 영역으로 나누고 Query와 가까운 영역의 벡터를 우선 탐색하여 전체 비교량을 줄이는 근사 벡터 검색 방식이다.,"ivf,inverted file,vector index,근사 검색"
vector,Semantic Search,Semantic Search는 검색어와 문서의 정확한 단어 일치보다 의미적 유사성을 중심으로 관련 정보를 찾는 검색 방식이다. Vector RAG의 핵심 Retrieval 방식이다.,"semantic search,의미 검색,vector rag,embedding"
vector,Vector Similarity Score,Vector 검색 결과에는 질문 벡터와 문서 벡터가 얼마나 가까운지를 나타내는 거리 또는 유사도 점수를 사용할 수 있다. 이 점수는 Top-K 결과의 정렬과 검색 근거 설명에 활용된다.,"similarity score,유사도 점수,distance,ranking"
vector,Vector RAG Strength,Vector RAG는 질문과 문서가 서로 다른 표현을 사용하더라도 의미가 비슷하면 검색할 수 있어 자연어 질의와 의미 기반 검색에 강하다.,"vector strength,장점,semantic search,표현 차이"
vector,Vector RAG Limitation,"Vector RAG는 의미적으로 비슷하지만 질문 목적과 실제로는 관련 없는 문서를 가져올 수 있고, 제품 코드나 정확한 고유명사처럼 문자열 일치가 중요한 검색에서는 Keyword 방식보다 불리할 수 있다.","vector limitation,한계,오검색,고유명사"
vector,Re-Embedding,원본 텍스트의 내용이 변경되어 검색 의미가 달라졌다면 해당 문서의 Embedding도 새 내용 기준으로 다시 생성해야 한다. 메타데이터만 바뀌고 검색 벡터에 포함하지 않는 경우에는 재임베딩 필요성이 달라질 수 있다.,"re-embedding,재임베딩,데이터 변경,embedding update"
vector,PCA,"PCA는 Principal Component Analysis의 약자로, 고차원 데이터에서 분산이 큰 방향을 찾아 더 적은 차원으로 투영하는 차원 축소 기법이다. Vector RAG의 검색 알고리즘 자체가 아니라 임베딩 구조를 분석하고 시각화하는 데 활용할 수 있다.","pca,principal component analysis,주성분 분석,차원 축소"
vector,PCA Visualization,고차원 임베딩은 사람이 직접 볼 수 없으므로 PCA를 이용해 2차원 또는 3차원으로 축소하면 데이터가 어떤 방향으로 분포하고 서로 가까운 항목이 어떻게 모이는지 시각적으로 확인할 수 있다.,"pca visualization,임베딩 시각화,2d,3d,차원 축소"
vector,PCA Information Loss,PCA로 차원을 줄이면 원본 고차원 벡터의 모든 정보를 보존할 수 없다. 따라서 실제 유사도 검색에는 원본 임베딩을 사용하고 PCA 결과는 분석과 시각화 용도로 사용하는 것이 일반적이다.,"pca information loss,정보 손실,원본 임베딩,시각화"
vector,Vector RAG Visualization,"Vector RAG는 질문이 임베딩으로 변환되는 단계, Vector DB에서 유사 문서가 선택되는 단계, 각 문서의 유사도 점수, Top-K 결과와 Context 구성을 순서대로 시각화할 수 있다.","vector visualization,시각화,embedding,similarity,top-k"
graph,Graph RAG,"Graph RAG는 정보를 Entity와 Relationship으로 구성된 Graph 구조로 저장하거나 탐색하고, 질문과 관련된 관계 경로 또는 Subgraph를 검색하여 LLM의 답변 근거로 사용하는 RAG 방식이다.","graph rag,그래프 rag,entity,relationship,neo4j"
graph,Graph RAG Pipeline,"Graph RAG의 질의 흐름은 사용자 질문 입력, Entity와 관계 의도 분석, 시작 Node 결정, Graph Traversal, 관련 Subgraph 추출, Context 구성, LLM 답변 생성 순서로 정리할 수 있다.","graph pipeline,그래프 과정,graph traversal,subgraph"
graph,Node,"Node는 Graph에서 하나의 개체를 표현한다. 사용자, 상품, 브랜드, 카테고리, 사람, 장소, 문서, 개념처럼 서로 구별되는 대상을 Node로 모델링할 수 있다.","node,노드,graph,개체"
graph,Relationship,"Relationship은 두 Node 사이의 연결과 그 의미를 표현한다. 사용자-REVIEWED-상품, 상품-MADE_BY-브랜드, 상품-BELONGS_TO-카테고리처럼 관계의 종류를 명시할 수 있다.","relationship,관계,edge,reviewed,made_by,belongs_to"
graph,Entity,"Entity는 사람, 상품, 조직, 장소, 개념처럼 구별 가능한 대상을 의미한다. Graph 기반 검색에서는 질문에서 관련 Entity를 파악하고 해당 Node와 연결 관계를 탐색한다.","entity,엔티티,개체,node"
graph,Graph Schema,Graph Schema는 어떤 종류의 Node를 만들고 Node 사이에 어떤 Relationship을 허용할지 정의하는 데이터 모델이다. Graph RAG의 검색 가능 범위와 관계 의미를 결정하는 중요한 설계 요소이다.,"graph schema,그래프 스키마,node type,relationship type"
graph,Graph Construction,Graph Construction은 원본 데이터에서 Entity를 Node로 만들고 개체 사이의 연결을 Relationship으로 생성하여 Graph Database에 적재하는 과정이다.,"graph construction,그래프 구축,entity extraction,relationship"
graph,Entity Extraction,"비정형 문서에서 Graph를 만들 때는 사람, 조직, 상품, 장소, 개념 등 관계의 대상이 되는 Entity를 추출해야 한다. 구조화 데이터에서는 기존 컬럼이나 테이블의 식별자를 Entity로 사용할 수 있다.","entity extraction,엔티티 추출,ner,graph"
graph,Relationship Extraction,Relationship Extraction은 두 Entity 사이에 어떤 의미의 연결이 존재하는지를 파악하는 과정이다. 구조화 데이터의 외래키나 리뷰 기록을 활용하거나 비정형 텍스트에서 관계를 추출할 수 있다.,"relationship extraction,관계 추출,edge,graph"
graph,Neo4j,Neo4j는 Node와 Relationship을 중심으로 데이터를 저장하고 탐색할 수 있는 Graph Database이다. 연결 관계를 여러 단계 따라가는 질의를 표현하는 데 적합하다.,"neo4j,graph database,그래프 데이터베이스,node,relationship"
graph,Cypher,Cypher는 Neo4j에서 Graph 데이터를 조회하고 생성하고 수정하는 데 사용하는 질의 언어이다. Node 패턴과 Relationship 경로를 시각적인 형태와 유사한 문법으로 표현할 수 있다.,"cypher,사이퍼,neo4j query,graph query"
graph,Graph Traversal,Graph Traversal은 특정 Node에서 시작하여 Relationship을 따라 다른 Node로 이동하며 필요한 정보를 탐색하는 과정이다. Graph RAG의 핵심 Retrieval 동작이다.,"graph traversal,그래프 탐색,관계 탐색,path"
graph,Graph Path,Graph Path는 질문에 답하기 위해 따라간 Node와 Relationship의 연결 순서를 의미한다. 경로를 기록하면 검색 결과뿐 아니라 어떤 관계를 거쳐 답을 찾았는지 설명할 수 있다.,"graph path,경로,path,관계 순서"
graph,Subgraph,Subgraph는 전체 Graph 중 특정 질문과 관련된 일부 Node와 Relationship만 추출한 부분 그래프이다. Graph RAG에서는 이 작은 관계 구조를 Context로 구성해 LLM에 제공할 수 있다.,"subgraph,서브그래프,부분 그래프,context"
graph,Multi Hop Reasoning,Multi-Hop 탐색은 하나의 직접 관계만 보는 것이 아니라 여러 Relationship을 연속으로 따라가며 정보를 찾는 방식이다. Graph RAG가 관계형 질문에서 강점을 가지는 핵심 이유 중 하나이다.,"multi hop,multi-hop,다단계 관계,graph reasoning"
graph,User Product Path,사용자가 좋아한 상품을 찾는 Graph 경로는 User에서 REVIEWED Relationship을 따라 Product로 이동하는 구조로 표현할 수 있다. 리뷰 평점 조건을 함께 사용하면 선호 상품을 제한할 수 있다.,"user product,user reviewed product,reviewed,graph path"
graph,Same Brand Path,사용자가 좋아한 상품과 같은 브랜드의 다른 상품을 찾으려면 User에서 REVIEWED를 따라 Product로 이동하고 MADE_BY를 통해 Brand를 찾은 뒤 같은 Brand와 연결된 다른 Product를 탐색할 수 있다.,"same brand,브랜드 관계,made_by,graph path"
graph,Same Category Path,사용자가 좋아한 상품과 같은 카테고리의 상품을 찾으려면 User에서 REVIEWED를 따라 Product로 이동하고 BELONGS_TO를 통해 Category를 찾은 뒤 같은 Category에 속한 다른 Product를 탐색할 수 있다.,"same category,카테고리 관계,belongs_to,graph path"
graph,Related User Path,같은 상품을 선호한 다른 사용자를 찾으려면 한 User가 REVIEWED한 Product를 찾고 그 Product를 REVIEWED한 다른 User를 역방향으로 탐색할 수 있다.,"related users,다른 사용자,reviewed,공통 상품,graph path"
graph,Graph Query Classification,"Graph RAG에서는 질문이 사용자 상품 조회, 같은 브랜드 탐색, 같은 카테고리 탐색, 관련 사용자 탐색 중 어떤 관계 패턴을 요구하는지 분류하고 적절한 Graph Path를 선택할 수 있다.","query classification,질문 분류,path selection,graph rag"
graph,Graph Query Template,실제 서비스에서는 질문마다 LLM이 자유롭게 Cypher를 생성하게 하는 대신 허용된 관계 경로별 Cypher 템플릿을 준비하고 질문 의도에 따라 선택하면 예측 가능성과 안전성을 높일 수 있다.,"cypher template,query template,경로 선택,안전성"
graph,Graph RAG Strength,"Graph RAG는 여러 개체 사이의 명시적인 관계와 다단계 연결을 탐색하는 질문에 강하며, 검색 근거를 Node와 Relationship 경로로 설명하고 시각화하기 쉽다.","graph strength,장점,관계,설명 가능성,multi-hop"
graph,Graph RAG Limitation,Graph RAG는 어떤 Entity와 Relationship을 사용할지 사전에 설계하고 데이터를 올바르게 연결해야 하므로 초기 모델링 비용이 크며 Graph에 없는 관계는 탐색할 수 없다.,"graph limitation,한계,모델링 비용,데이터 관계"
graph,Graph RAG Visualization,"Graph RAG는 검색된 Node와 Relationship을 그대로 화면에 배치하여 User, Product, Brand, Category 등의 연결을 시각화할 수 있고 탐색 순서를 애니메이션으로 표현할 수도 있다.","graph visualization,그래프 시각화,node,relationship,path"
comparison,Keyword vs Vector,Keyword RAG는 실제 단어나 문자열의 일치를 중심으로 검색하고 Vector RAG는 Embedding 벡터의 의미적 유사성을 중심으로 검색한다. 정확한 표현이 중요하면 Keyword가 유리하고 표현이 달라도 의미가 가까운 정보를 찾으려면 Vector가 유리하다.,"keyword vs vector,비교,lexical,semantic"
comparison,Vector vs Graph,Vector RAG는 질문과 문서의 의미적 가까움을 중심으로 검색하고 Graph RAG는 Entity 사이의 명시적인 Relationship을 따라 정보를 탐색한다. 의미 검색과 관계 탐색이라는 목적 차이가 핵심이다.,"vector vs graph,비교,semantic,relationship"
comparison,Keyword vs Graph,Keyword RAG는 문서 안의 단어 일치를 찾는 방식이고 Graph RAG는 Node 사이의 관계 구조를 탐색하는 방식이다. 특정 용어 검색과 다단계 관계 질의에서 각각 다른 강점을 가진다.,"keyword vs graph,비교,keyword,relationship"
comparison,Keyword Vector Graph,"Keyword RAG는 단어를 기준으로, Vector RAG는 의미를 기준으로, Graph RAG는 관계를 기준으로 정보를 검색한다. 세 방식은 단순한 성능 순위가 아니라 데이터 구조와 질문 유형에 따라 선택하는 서로 다른 Retrieval 전략이다.","keyword vector graph,rag 비교,단어,의미,관계"
comparison,Retriever Selection,"RAG 시스템에서는 질문의 특성을 분석하여 정확한 문자열 검색이면 Keyword, 의미 검색이면 Vector, 관계 탐색이면 Graph Retriever를 선택하는 방식으로 구성할 수 있다.","retriever selection,router,질문 분류,keyword,vector,graph"
comparison,Hybrid Retrieval,"하나의 질문에 Keyword와 Vector 검색을 함께 수행하거나 Graph 결과와 Vector 결과를 결합하면 단일 검색 방식의 약점을 보완할 수 있다. 결합 시에는 점수 정규화, 재정렬, 중복 제거 등의 처리가 필요할 수 있다.","hybrid retrieval,검색 결합,reranking,중복 제거"
comparison,RAG Explainability,RAG의 설명 가능성을 높이려면 최종 답변뿐 아니라 어떤 질문이 들어왔고 어떤 Retriever가 선택되었으며 어떤 문서나 관계가 검색되었고 어떤 Context가 LLM에 전달되었는지를 함께 기록할 수 있다.,"explainability,설명 가능성,retrieval trace,검색 과정"
